epoch,training_loss,validation_loss,is_new_best
1,0.6588794304456325,0.6460267901420593,True
2,0.6388587951315621,0.6102694758662471,True
3,0.6537053432767791,0.6528005511672409,False
4,0.6575937887836742,0.6515346147395946,False
5,0.6543167752337593,0.6517130423475195,False
6,0.6540577251787131,0.6526980576691804,False
7,0.6562710450563817,0.6511032183965048,False
8,0.6520377167387504,0.6537655238752011,False
9,0.6526402656053532,0.6512150080115707,False
10,0.6535232377879192,0.6509337866747821,False
11,0.6503369005084727,0.6593331981588293,False
12,0.6555669379372128,0.6515269235328391,False
13,0.6566949491211445,0.650450865427653,False
14,0.6534330224715217,0.6513971443529483,False
15,0.6514908867764335,0.6488216099915681,False
16,0.6500446194169149,0.6461909656171445,False
17,0.6498338450586175,0.6395246276149044,False
18,0.6567992368874522,0.654994214022601,False
19,0.654387291111698,0.6510869087996306,False
20,0.6576502463721127,0.6509079579953794,False
21,0.6532646747682825,0.6571570369932387,False
22,0.653865640011826,0.6434838860123245,False
23,0.6378482270792041,0.601960817972819,True
24,0.6326524601161825,0.6099513636695014,False
25,0.6487183365518647,0.5971927024700023,True
26,0.6398204277705595,0.6302829495182743,False
27,0.6204775341673393,0.6767321604269522,False
28,0.6332675158632973,0.5623003509309557,True
29,0.5997778614132391,0.5671632930084511,False
30,0.5977942089124911,0.5775452410733258,False
31,0.5906996735258598,0.5744847434538382,False
32,0.5885025221488379,0.5273009273740981,True
33,0.6020327205947369,0.5801907203815602,False
34,0.5905364459649676,0.5398650566736857,False
35,0.5486114788606676,0.6457402397085119,False
36,0.6247343600829902,0.5664213365978665,False
37,0.5808659931827832,0.5271246300803291,True
38,0.5541178766702641,0.5110102847770408,True
39,0.5521490473967756,0.5401013603916874,False
40,0.5226295017782663,0.49642638365427655,True
41,0.49871946904011544,0.5022654555462025,False
42,0.4981432924036346,0.49414225860878275,True
43,0.5758579562165145,0.6437487602233887,False
44,0.6292129318493639,0.7227173933276424,False
45,0.6394339431917048,0.7127214074134827,False
46,0.6412157594124017,0.5999181049841421,False
47,0.5964384162357088,0.5804339073322438,False
48,0.5794510119912252,0.5603368481000265,False
49,0.598199593056144,0.5318428896091603,False
50,0.5854716899078016,0.5270988278918796,False
