array_row_idx,clip_id,label,split
0,no_throw_clip_1,0,train
1,no_throw_clip_10,0,validation
2,no_throw_clip_100,0,train
3,no_throw_clip_1000,0,train
4,no_throw_clip_1001,0,train
5,no_throw_clip_1003,0,train
6,no_throw_clip_1004,0,train
7,no_throw_clip_1005,0,train
8,no_throw_clip_1006,0,validation
9,no_throw_clip_1007,0,train
10,no_throw_clip_1009,0,train
11,no_throw_clip_1012,0,train
12,no_throw_clip_1017,0,train
13,no_throw_clip_1018,0,test
14,no_throw_clip_1019,0,test
15,no_throw_clip_1020,0,train
16,no_throw_clip_1022,0,validation
17,no_throw_clip_1029,0,train
18,no_throw_clip_1031,0,train
19,no_throw_clip_1033,0,train
20,no_throw_clip_1034,0,test
21,no_throw_clip_1035,0,validation
22,no_throw_clip_1036,0,train
23,no_throw_clip_1037,0,train
24,no_throw_clip_1038,0,train
25,no_throw_clip_1039,0,train
26,no_throw_clip_104,0,test
27,no_throw_clip_1040,0,train
28,no_throw_clip_1041,0,train
29,no_throw_clip_1043,0,train
30,no_throw_clip_1047,0,train
31,no_throw_clip_1048,0,train
32,no_throw_clip_1049,0,train
33,no_throw_clip_105,0,train
34,no_throw_clip_1050,0,validation
35,no_throw_clip_1051,0,train
36,no_throw_clip_1053,0,train
37,no_throw_clip_1055,0,test
38,no_throw_clip_1056,0,train
39,no_throw_clip_1057,0,train
40,no_throw_clip_106,0,validation
41,no_throw_clip_1061,0,train
42,no_throw_clip_1062,0,train
43,no_throw_clip_1063,0,train
44,no_throw_clip_1064,0,train
45,no_throw_clip_1065,0,train
46,no_throw_clip_1068,0,train
47,no_throw_clip_1069,0,train
48,no_throw_clip_107,0,train
49,no_throw_clip_1071,0,train
50,no_throw_clip_1076,0,train
51,no_throw_clip_1077,0,train
52,no_throw_clip_1078,0,train
53,no_throw_clip_1080,0,test
54,no_throw_clip_1085,0,train
55,no_throw_clip_1086,0,train
56,no_throw_clip_1087,0,train
57,no_throw_clip_1088,0,train
58,no_throw_clip_109,0,train
59,no_throw_clip_1090,0,train
60,no_throw_clip_1091,0,train
61,no_throw_clip_1092,0,train
62,no_throw_clip_1093,0,train
63,no_throw_clip_1094,0,train
64,no_throw_clip_1096,0,validation
65,no_throw_clip_1097,0,train
66,no_throw_clip_1098,0,train
67,no_throw_clip_1099,0,train
68,no_throw_clip_11,0,train
69,no_throw_clip_110,0,train
70,no_throw_clip_1100,0,train
71,no_throw_clip_1101,0,train
72,no_throw_clip_1102,0,train
73,no_throw_clip_1103,0,train
74,no_throw_clip_1104,0,train
75,no_throw_clip_1105,0,train
76,no_throw_clip_1106,0,train
77,no_throw_clip_1107,0,train
78,no_throw_clip_111,0,train
79,no_throw_clip_1112,0,train
80,no_throw_clip_1113,0,train
81,no_throw_clip_1114,0,train
82,no_throw_clip_112,0,train
83,no_throw_clip_1122,0,train
84,no_throw_clip_1123,0,train
85,no_throw_clip_1127,0,train
86,no_throw_clip_1128,0,train
87,no_throw_clip_1129,0,test
88,no_throw_clip_1130,0,train
89,no_throw_clip_1132,0,train
90,no_throw_clip_1133,0,train
91,no_throw_clip_1134,0,validation
92,no_throw_clip_1135,0,train
93,no_throw_clip_1136,0,train
94,no_throw_clip_1137,0,train
95,no_throw_clip_1138,0,test
96,no_throw_clip_1139,0,train
97,no_throw_clip_1146,0,train
98,no_throw_clip_1148,0,test
99,no_throw_clip_1149,0,train
100,no_throw_clip_115,0,train
101,no_throw_clip_1150,0,train
102,no_throw_clip_1152,0,train
103,no_throw_clip_1153,0,test
104,no_throw_clip_1154,0,train
105,no_throw_clip_1155,0,train
106,no_throw_clip_1157,0,train
107,no_throw_clip_1158,0,train
108,no_throw_clip_1159,0,train
109,no_throw_clip_116,0,train
110,no_throw_clip_1160,0,train
111,no_throw_clip_1162,0,train
112,no_throw_clip_1165,0,test
113,no_throw_clip_1166,0,train
114,no_throw_clip_1167,0,train
115,no_throw_clip_117,0,train
116,no_throw_clip_1170,0,train
117,no_throw_clip_118,0,train
118,no_throw_clip_1181,0,train
119,no_throw_clip_1182,0,train
120,no_throw_clip_1183,0,train
121,no_throw_clip_1186,0,validation
122,no_throw_clip_1187,0,test
123,no_throw_clip_1188,0,train
124,no_throw_clip_1189,0,train
125,no_throw_clip_1190,0,train
126,no_throw_clip_1191,0,train
127,no_throw_clip_1192,0,train
128,no_throw_clip_1195,0,train
129,no_throw_clip_1196,0,train
130,no_throw_clip_1197,0,test
131,no_throw_clip_1198,0,train
132,no_throw_clip_1199,0,train
133,no_throw_clip_1200,0,train
134,no_throw_clip_1201,0,test
135,no_throw_clip_1204,0,train
136,no_throw_clip_1207,0,train
137,no_throw_clip_1209,0,train
138,no_throw_clip_1210,0,train
139,no_throw_clip_1211,0,train
140,no_throw_clip_1212,0,train
141,no_throw_clip_1217,0,train
142,no_throw_clip_1218,0,train
143,no_throw_clip_1222,0,validation
144,no_throw_clip_1226,0,train
145,no_throw_clip_1227,0,train
146,no_throw_clip_1228,0,validation
147,no_throw_clip_123,0,train
148,no_throw_clip_1232,0,train
149,no_throw_clip_1235,0,train
150,no_throw_clip_1243,0,test
151,no_throw_clip_1247,0,test
152,no_throw_clip_1248,0,validation
153,no_throw_clip_1249,0,train
154,no_throw_clip_125,0,train
155,no_throw_clip_1250,0,train
156,no_throw_clip_1251,0,train
157,no_throw_clip_1252,0,validation
158,no_throw_clip_1253,0,train
159,no_throw_clip_1254,0,train
160,no_throw_clip_1255,0,test
161,no_throw_clip_1256,0,test
162,no_throw_clip_1259,0,train
163,no_throw_clip_126,0,train
164,no_throw_clip_1260,0,train
165,no_throw_clip_1261,0,train
166,no_throw_clip_1262,0,test
167,no_throw_clip_1264,0,train
168,no_throw_clip_1265,0,train
169,no_throw_clip_1266,0,train
170,no_throw_clip_1267,0,train
171,no_throw_clip_127,0,train
172,no_throw_clip_1270,0,train
173,no_throw_clip_1271,0,train
174,no_throw_clip_1274,0,train
175,no_throw_clip_1276,0,train
176,no_throw_clip_1279,0,train
