epoch,training_loss,validation_loss,is_new_best
1,0.8438461767455746,0.6138206190533109,True
2,0.824559615388771,0.6271637656070568,False
3,0.7646452724589089,0.60662074442263,True
4,0.7833073157451056,0.6401784530392399,False
5,0.7545602600009456,0.6340886288219028,False
6,0.7647472676514201,0.5916806878866973,True
7,0.7357288366797342,0.6010773490976404,False
8,0.7145454566602762,0.5640802824938739,True
9,0.7091739261081453,0.5962305918887809,False
10,0.7411421009915412,0.5983239202587692,False
11,0.6939395142428447,0.4922807393250642,True
12,0.6744148151033875,0.618729207250807,False
13,0.6750686066688141,0.5824329941361038,False
14,0.6700988386752288,0.5176654987865024,False
15,0.6607588750089524,0.5078138333779795,False
16,0.6299403661765115,0.4804422546316076,True
17,0.5999097363797227,0.5187651846143935,False
18,0.5942110098166273,0.5875833498107063,False
19,0.6012119994687207,0.4509826997915904,True
20,0.5832501224010666,0.4514282897666649,False
21,0.5424409865643937,0.4597848455111186,False
22,0.5397162552513828,0.46996491705929794,False
23,0.5500126312836746,0.437998080695117,True
24,0.564737904829786,0.40847782956229317,True
25,0.535428345410121,0.46204360326131183,False
26,0.49469863820627247,0.4005896537392228,True
27,0.4944290568373796,0.4183395747785215,False
28,0.4924163674343528,0.4366971762092025,False
29,0.5008434181268504,0.43135720712167247,False
30,0.4993668956563652,0.47984222791813036,False
31,0.4870596357508202,0.43043858695913245,False
32,0.4824258390534131,0.45336030589209664,False
33,0.43328249578531075,0.5394977794753181,False
34,0.45826100586466706,0.44725497784437956,False
35,0.4615382983505381,0.4273257354895274,False
36,0.4182763717164194,0.5282742557702241,False
37,0.4450808884780531,0.4830921513062936,False
38,0.49687746866590027,0.4306916660732693,False
39,0.4250473857615035,0.45039116011725533,False
40,0.40671141950381284,0.5084916309074119,False
41,0.38724300444470666,0.6703900507202855,False
42,0.40308581018723505,0.4516991917733793,False
43,0.38807376974579916,0.5114078146440012,False
44,0.38348896462104226,0.48360277546776664,False
45,0.3565987790940125,0.524333655834198,False
46,0.36765111487121943,0.49558403756883407,False
47,0.35970026647424425,0.5003181210270634,False
48,0.3390075122000854,0.5297858869587934,False
49,0.35613548159599306,0.4702370564142863,False
50,0.3547051276774765,0.5150192755239981,False
