throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
755,00:02:12,forwards_throw,white,no_score,00:04:16,0,0,0,0,0,0,u66,m,false
756,00:03:11,forwards_throw,blue,no_score,00:03:25,0,0,0,0,1,0,u66,m,false
757,00:04:32,forwards_throw,blue,no_score,00:02:17,1,1,0,0,1,1,u66,m,false
758,00:05:09,forwards_throw,blue,no_score,00:02:03,1,1,0,0,1,2,u66,m,false
759,00:06:03,forwards_throw,blue,no_score,00:01:14,1,1,0,0,1,3,u66,m,false
760,00:06:21,forwards_throw,white,no_score,00:01:02,1,1,0,0,1,4,u66,m,false
761,00:06:55,forwards_throw,white,no_score,00:00:39,1,1,0,0,2,4,u66,m,false
762,00:06:57,backwards_throw,blue,no_score,00:00:36,1,1,0,0,3,4,u66,m,false
763,00:07:23,forwards_throw,white,no_score,00:00:24,1,1,0,0,3,5,u66,m,false
764,00:07:26,backwards_throw,blue,wazari,00:00:22,1,1,0,0,4,5,u66,m,false

765,00:10:00,backwards_throw,white,no_score,00:03:51,0,1,0,0,0,0,u73,m,false
766,00:10:24,forwards_throw,white,no_score,00:03:29,0,1,0,0,1,0,u73,m,false
767,00:11:03,backwards_throw,white,no_score,00:03:02,0,1,0,0,2,0,u73,m,false
767,00:11:33,forwards_throw,blue,no_score,00:02:41,0,1,0,0,3,0,u73,m,false
768,00:11:43,backwards_throw,white,no_score,00:02:35,0,1,0,0,3,1,u73,m,false
769,00:13:24,backwards_throw,white,no_score,00:01:17,0,1,0,0,4,1,u73,m,false
770,00:14:11,forwards_throw,white,no_score,00:00:42,0,1,0,0,5,1,u73,m,false
771,00:14:35,backwards_throw,white,no_score,00:00:27,0,1,0,0,6,1,u73,m,false
772,00:14:45,forwards_throw,white,no_score,00:00:20,0,1,0,0,7,1,u73,m,false
773,00:14:57,forwards_throw,white,no_score,00:00:08,0,1,0,0,8,1,u73,m,false
774,00:15:12,forwards_throw,blue,no_score,00:00:01,0,1,0,0,9,1,u73,m,false

775,00:17:24,forwards_throw,white,no_score,00:04:15,1,1,0,0,0,0,u81,m,false
776,00:17:52,backwards_throw,white,no_score,00:03:51,1,1,0,0,1,0,u81,m,false
777,00:18:34,forwards_throw,white,no_score,00:03:14,1,1,0,0,2,0,u81,m,false
778,00:18:39,forwards_throw,white,no_score,00:03:09,1,1,0,0,3,0,u81,m,false
779,00:19:20,forwards_throw,white,no_score,00:02:36,1,1,0,0,4,0,u81,m,false
780,00:20:16,forwards_throw,white,no_score,00:01:46,1,1,0,0,5,0,u81,m,false
781,00:21:05,forwards_throw,white,no_score,00:01:07,1,2,0,0,6,0,u81,m,false
782,00:21:39,forwards_throw,white,no_score,00:00:41,1,2,0,0,7,0,u81,m,false
783,00:22:03,forwards_throw,white,no_score,00:00:22,1,2,0,0,8,0,u81,m,false

784,00:24:59,forwards_throw,blue,no_score,00:03:51,1,1,0,0,0,0,u90,m,false
785,00:26:24,forwards_throw,white,no_score,00:02:42,2,2,0,0,0,1,u90,m,false

786,00:30:52,forwards_throw,blue,no_score,00:04:50,0,0,0,0,0,0,over_90,m,false
787,00:31:26,forwards_throw,blue,no_score,00:04:24,0,0,0,0,0,1,over_90,m,false
788,00:32:56,forwards_throw,white,no_score,00:03:08,0,1,0,0,0,2,over_90,m,false
789,00:33:41,backwards_throw,blue,no_score,00:02:28,0,1,0,0,1,2,over_90,m,false
790,00:33:42,backwards_throw,white,no_score,00:02:27,0,1,0,0,1,3,over_90,m,false
791,00:34:12,forwards_throw,white,no_score,00:02:02,0,1,0,0,2,3,over_90,m,false
792,00:34:43,backwards_throw,blue,no_score,00:01:36,0,1,0,0,3,3,over_90,m,false
793,00:34:53,forwards_throw,white,no_score,00:01:27,0,1,0,0,3,4,over_90,m,false
794,00:35:51,forwards_throw,blue,no_score,00:00:39,0,1,0,0,4,4,over_90,m,false
795,00:36:29,forwards_throw,blue,no_score,00:00:11,0,1,0,0,4,5,over_90,m,false
