throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
796,00:03:28,forwards_throw,blue,no_score,00:03:34,0,0,0,0,0,0,u73,m,false
797,00:04:17,backwards_throw,white,no_score,00:03:17,0,0,0,0,0,1,u73,m,false
798,00:04:42,backwards_throw,blue,no_score,00:02:58,0,0,0,0,1,1,u73,m,false
799,00:04:43,forwards_throw,blue,no_score,00:02:57,0,0,0,0,1,2,u73,m,false
800,00:05:33,backwards_throw,white,no_score,00:02:27,0,0,0,0,1,3,u73,m,false
801,00:06:06,forwards_throw,white,yuko,00:02:09,0,0,0,0,2,3,u73,m,false
802,00:06:53,backwards_throw,white,no_score,00:01:34,0,0,0,0,3,3,u73,m,false
803,00:07:56,forwards_throw,white,no_score,00:00:55,0,0,0,0,4,3,u73,m,false

804,00:14:22,forwards_throw,white,no_score,00:01:55,1,1,0,0,0,0,u70,f,false
805,00:14:51,backwards_throw,white,no_score,00:01:37,1,1,0,0,1,0,u70,f,false
806,00:16:04,forwards_throw,blue,no_score,00:00:49,1,2,0,0,2,0,u70,f,false
807,00:16:24,forwards_throw,white,no_score,00:00:28,1,2,0,0,2,1,u70,f,false
808,00:16:53,forwards_throw,white,no_score,00:00:10,1,2,0,0,3,1,u70,f,false
809,00:18:06,forwards_throw,white,no_score,00:00:34,2,2,0,0,4,1,u70,f,true
810,00:18:18,forwards_throw,white,no_score,00:00:46,2,2,0,0,5,1,u70,f,true
811,00:19:19,forwards_throw,white,no_score,00:01:18,2,2,0,0,6,1,u70,f,true
812,00:19:19,backwards_throw,blue,yuko,00:01:18,2,2,0,0,7,1,u70,f,true

813,00:21:10,forwards_throw,white,no_score,00:03:29,0,0,0,0,0,0,u90,m,false
814,00:21:40,forwards_throw,white,no_score,00:03:03,0,0,0,0,1,0,u90,m,false
815,00:22:10,backwards_throw,blue,no_score,00:02:41,0,1,0,0,2,0,u90,m,false
816,00:22:55,forwards_throw,white,no_score,00:02:00,0,1,0,0,2,1,u90,m,false
817,00:22:56,forwards_throw,white,ippon,00:01:59,0,1,0,0,3,1,u90,m,false

818,00:25:02,forwards_throw,white,no_score,00:02:56,0,1,0,0,0,0,over_70,f,false
819,00:25:23,forwards_throw,white,no_score,00:02:45,0,1,0,0,1,0,over_70,f,false
820,00:25:30,backwards_throw,white,no_score,00:02:38,0,1,0,0,2,0,over_70,f,false
821,00:25:35,forwards_throw,blue,no_score,00:02:33,0,1,0,0,3,0,over_70,f,false
822,00:26:11,backwards_throw,white,no_score,00:02:17,0,1,0,0,3,1,over_70,f,false
823,00:26:22,forwards_throw,white,no_score,00:02:06,0,1,0,0,4,1,over_70,f,false
824,00:26:31,forwards_throw,white,no_score,00:01:57,0,1,0,0,5,1,over_70,f,false

825,00:29:14,backwards_throw,blue,no_score,00:03:06,0,0,0,0,0,0,over_90,m,false
826,00:29:49,backwards_throw,white,no_score,00:02:49,0,0,0,0,0,1,over_90,m,false

827,00:31:34,forwards_throw,blue,no_score,00:03:47,0,0,0,0,0,0,u57,f,false
828,00:33:08,forwards_throw,blue,no_score,00:02:24,0,0,0,0,0,1,u57,f,false
829,00:34:57,backwards_throw,white,no_score,00:01:00,1,0,0,0,0,2,u57,f,false
830,00:35:44,forwards_throw,blue,no_score,00:00:27,2,0,0,0,1,2,u57,f,false
831,00:36:13,forwards_throw,blue,no_score,00:00:07,2,1,0,0,1,3,u57,f,false
832,00:36:57,backwards_throw,white,no_score,00:00:19,2,1,0,0,1,4,u57,f,true
833,00:37:01,backwards_throw,blue,ippon,00:00:23,2,1,0,0,2,4,u57,f,true
