throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
834,00:01:35,forwards_throw,blue,no_score,00:04:53,0,0,0,0,0,0,u73,m,false
835,00:01:41,forwards_throw,white,no_score,00:04:47,0,0,0,0,0,1,u73,m,false
836,00:01:56,forwards_throw,blue,no_score,00:04:38,0,0,0,0,1,1,u73,m,false
837,00:02:12,forwards_throw,blue,no_score,00:04:27,0,0,0,0,1,2,u73,m,false
838,00:02:25,forwards_throw,white,no_score,00:04:14,0,0,0,0,1,3,u73,m,false
839,00:02:52,forwards_throw,blue,no_score,00:03:53,0,0,0,0,2,3,u73,m,false
840,00:03:28,forwards_throw,white,no_score,00:03:22,0,0,0,0,2,4,u73,m,false
841,00:03:59,forwards_throw,blue,no_score,00:03:01,0,0,0,0,3,4,u73,m,false
842,00:04:00,forwards_throw,white,wazari,00:03:00,0,0,0,0,3,5,u73,m,false
843,00:04:35,forwards_throw,white,no_score,00:02:41,0,0,1,0,4,5,u73,m,false
844,00:04:42,forwards_throw,white,no_score,00:02:34,0,0,1,0,5,5,u73,m,false
845,00:05:07,forwards_throw,blue,no_score,00:02:21,0,1,1,0,6,5,u73,m,false
846,00:05:38,forwards_throw,white,no_score,00:01:58,0,1,1,0,6,6,u73,m,false
847,00:06:11,forwards_throw,white,no_score,00:01:39,0,1,1,0,7,6,u73,m,false
848,00:06:11,forwards_throw,blue,wazari,00:01:39,0,1,1,0,8,6,u73,m,false
849,00:06:40,forwards_throw,blue,no_score,00:01:25,0,1,1,1,8,7,u73,m,false
850,00:06:51,forwards_throw,blue,no_score,00:01:18,0,1,1,1,8,8,u73,m,false
851,00:06:54,forwards_throw,white,no_score,00:01:15,0,1,1,1,8,9,u73,m,false
852,00:07:26,forwards_throw,blue,no_score,00:00:54,0,1,1,1,9,9,u73,m,false
853,00:07:54,backwards_throw,white,ippon,00:00:34,0,1,1,1,9,10,u73,m,false
