throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
676,00:00:42,backwards_throw,blue,no_score,00:03:40,0,0,0,0,0,0,u90,m,false
677,00:01:20,forwards_throw,blue,no_score,00:03:19,0,0,0,0,0,1,u90,m,false
678,00:01:45,forwards_throw,white,no_score,00:02:58,0,0,0,0,0,2,u90,m,false
679,00:02:11,forwards_throw,blue,no_score,00:02:43,0,0,0,0,1,2,u90,m,false
680,00:02:41,backwards_throw,white,wazari,00:02:31,0,0,0,0,1,3,u90,m,false
681,00:05:29,forwards_throw,white,no_score,00:01:04,1,0,1,0,2,3,u90,m,false
682,00:05:32,backwards_throw,blue,no_score,00:01:02,1,0,1,0,3,3,u90,m,false
683,00:07:07,forwards_throw,blue,no_score,00:00:21,1,0,1,0,3,4,u90,m,false
684,00:07:27,forwards_throw,blue,no_score,00:00:16,1,0,1,0,3,5,u90,m,false
685,00:07:28,forwards_throw,white,no_score,00:00:14,1,0,1,0,3,6,u90,m,false
686,00:07:33,forwards_throw,blue,no_score,00:00:10,1,0,1,0,4,6,u90,m,false

687,00:09:13,forwards_throw,white,no_score,00:03:25,0,1,0,0,0,0,over_70,f,false
688,00:10:10,backwards_throw,white,no_score,00:02:44,0,0,0,0,1,0,over_70,f,false
689,00:12:02,backwards_throw,white,wazari,00:01:28,0,0,0,0,2,0,over_70,f,false

690,00:14:51,backwards_throw,blue,no_score,00:03:04,0,1,0,0,0,0,over_90,m,false
691,00:15:46,forwards_throw,blue,no_score,00:02:20,1,2,0,0,0,1,over_90,m,false
692,00:15:54,backwards_throw,blue,ippon,00:02:12,1,2,0,0,0,2,over_90,m,false

693,00:17:30,forwards_throw,blue,wazari,00:03:26,0,0,0,0,0,0,u57,f,false
694,00:18:19,forwards_throw,blue,no_score,00:02:44,0,0,0,1,0,1,u57,f,false
695,00:19:46,forwards_throw,blue,no_score,00:01:54,0,0,0,1,0,2,u57,f,false
696,00:20:11,forwards_throw,white,no_score,00:01:36,0,0,0,1,0,3,u57,f,false
697,00:20:37,backwards_throw,white,no_score,00:01:19,0,0,0,1,1,3,u57,f,false
698,00:20:37,backwards_throw,blue,no_score,00:01:19,0,0,0,1,2,3,u57,f,false

699,00:22:18,backwards_throw,white,no_score,00:03:31,0,0,0,0,0,0,u73,m,false
700,00:22:38,forwards_throw,white,no_score,00:03:18,0,0,0,0,1,0,u73,m,false
701,00:22:58,forwards_throw,white,no_score,00:03:01,0,1,0,0,2,0,u73,m,false
702,00:24:23,backwards_throw,blue,no_score,00:01:51,0,1,0,0,3,0,u73,m,false
703,00:25:29,backwards_throw,white,no_score,00:01:01,1,2,0,0,3,1,u73,m,false
704,00:25:38,forwards_throw,white,no_score,00:00:53,1,2,0,0,4,1,u73,m,false
705,00:27:01,backwards_throw,blue,no_score,00:00:01,2,2,0,0,5,1,u73,m,false
706,00:27:57,backwards_throw,white,no_score,00:00:36,2,2,0,0,5,2,u73,m,true
707,00:28:50,forwards_throw,white,no_score,00:01:21,2,2,0,0,6,2,u73,m,true

708,00:30:02,backwards_throw,white,no_score,00:03:47,0,0,0,0,0,0,u70,f,false
709,00:30:18,forwards_throw,blue,no_score,00:03:38,0,0,0,0,1,0,u70,f,false
710,00:30:37,backwards_throw,white,no_score,00:03:21,0,0,0,0,1,1,u70,f,false
