throw_number,timestamp(hour:min:sec),throw_type,player,score,time_left_fight,white_shido_count,blue_shido_count,white_wazari_count_prior,blue_wazari_count_prior,throw_attempts_prior_white,throw_attempts_prior_blue,weight_category,gender,is_golden_score
111,00:00:54,forwards_throw,blue,no_score,00:03:45,0,0,0,0,0,0,u73,m,false
112,00:01:36,backwards_throw,blue,no_score,00:03:21,0,0,0,0,0,1,u73,m,false
113,00:01:49,backwards_throw,blue,no_score,00:03:08,0,0,0,0,0,2,u73,m,false
114,00:01:58,backwards_throw,blue,no_score,00:03:00,0,0,0,0,0,3,u73,m,false
115,00:01:59,forwards_throw,blue,no_score,00:02:59,0,0,0,0,0,4,u73,m,false
116,00:03:16,forwards_throw,blue,no_score,00:02:07,1,1,0,0,0,5,u73,m,false
117,00:03:33,backwards_throw,blue,no_score,00:01:56,1,1,0,0,0,6,u73,m,false
118,00:03:47,forwards_throw,white,no_score,00:01:42,1,1,0,0,0,7,u73,m,false
119,00:04:18,forwards_throw,white,no_score,00:01:17,1,1,0,0,1,7,u73,m,false
120,00:04:31,backwards_throw,blue,no_score,00:01:11,1,1,0,0,2,7,u73,m,false
121,00:04:32,forwards_throw,blue,no_score,00:01:09,1,1,0,0,2,8,u73,m,false
122,00:05:24,forwards_throw,white,no_score,00:00:30,1,2,0,0,2,9,u73,m,false
123,00:06:24,backwards_throw,blue,no_score,00:00:13,1,2,0,0,3,9,u73,m,false
124,00:06:54,forwards_throw,blue,no_score,00:00:08,1,2,0,0,3,10,u73,m,true

125,00:08:31,forwards_throw,blue,no_score,00:03:34,0,0,0,0,0,0,u73,m,false
126,00:08:54,forwards_throw,blue,no_score,00:03:16,0,0,0,0,0,1,u73,m,false
127,00:09:21,forwards_throw,blue,no_score,00:03:06,1,0,0,0,0,2,u73,m,false
128,00:09:32,forwards_throw,blue,no_score,00:02:58,1,0,0,0,0,3,u73,m,false
129,00:10:15,forwards_throw,blue,no_score,00:02:29,1,1,0,0,0,4,u73,m,false
130,00:10:32,forwards_throw,white,no_score,00:02:21,1,1,0,0,0,5,u73,m,false
131,00:10:51,forwards_throw,blue,no_score,00:02:10,1,1,0,0,1,5,u73,m,false
132,00:11:24,forwards_throw,white,no_score,00:01:45,1,1,0,0,1,6,u73,m,false
133,00:11:28,backwards_throw,blue,wazari,00:01:41,1,1,0,0,2,6,u73,m,false
134,00:12:36,forwards_throw,white,wazari,00:01:20,1,1,0,1,2,7,u73,m,false
135,00:12:55,forwards_throw,white,no_score,00:00:58,1,1,1,1,3,7,u73,m,false
136,00:13:53,forwards_throw,white,wazari,00:00:22,1,2,1,1,4,7,u73,m,false

137,00:15:02,forwards_throw,blue,no_score,00:03:44,0,0,0,0,0,0,u73,m,false
138,00:15:39,backwards_throw,blue,no_score,00:03:16,1,1,0,0,0,1,u73,m,false
139,00:15:54,forwards_throw,white,no_score,00:03:02,1,1,0,0,0,2,u73,m,false
140,00:16:29,backwards_throw,blue,no_score,00:02:44,1,2,0,0,1,2,u73,m,false
141,00:16:34,forwards_throw,white,no_score,00:02:39,1,2,0,0,1,3,u73,m,false
142,00:16:57,forwards_throw,blue,no_score,00:02:16,1,2,0,0,2,3,u73,m,false
143,00:17:21,forwards_throw,blue,no_score,00:02:02,1,2,0,0,2,4,u73,m,false
144,00:18:49,backwards_throw,blue,no_score,00:01:34,2,2,0,0,2,5,u73,m,false
155,00:18:55,forwards_throw,blue,no_score,00:01:27,2,2,0,0,2,6,u73,m,false
166,00:19:21,forwards_throw,white,no_score,00:01:13,2,2,0,0,2,7,u73,m,false
177,00:19:48,forwards_throw,white,no_score,00:00:55,2,2,0,0,3,7,u73,m,false

178,00:21:05,forwards_throw,white,no_score,00:03:13,0,1,0,0,0,0,u73,m,false
179,00:21:07,forwards_throw,blue,no_score,00:03:11,0,1,0,0,1,0,u73,m,false
180,00:21:09,forwards_throw,blue,wazari,00:03:09,0,1,0,0,1,1,u73,m,false

181,00:24:25,forwards_throw,white,no_score,00:03:50,0,0,0,0,0,0,u73,m,false
182,00:24:43,backwards_throw,blue,no_score,00:03:38,0,0,0,0,1,0,u73,m,false
183,00:25:14,forwards_throw,white,no_score,00:03:08,0,0,0,0,1,1,u73,m,false
184,00:26:05,forwards_throw,blue,no_score,00:02:31,1,1,0,0,2,1,u73,m,false
185,00:27:01,forwards_throw,white,no_score,00:01:47,1,1,0,0,2,2,u73,m,false
186,00:27:34,backwards_throw,white,no_score,00:01:22,1,1,0,0,3,2,u73,m,false
187,00:27:37,forwards_throw,white,no_score,00:01:19,1,1,0,0,4,2,u73,m,false
188,00:28:09,forwards_throw,white,no_score,00:00:53,1,1,0,0,5,2,u73,m,false
189,00:28:41,forwards_throw,white,no_score,00:00:30,1,2,0,0,6,2,u73,m,false
190,00:29:15,forwards_throw,blue,wazari,00:00:06,2,2,0,0,7,2,u73,m,false
